"","long","lat","group","order","region"
"1",-87.4620056152344,30.3896808624268,1,1,"ALABAMA"
"2",-87.4849319458008,30.3724918365479,1,2,"ALABAMA"
"3",-87.525032043457,30.3724918365479,1,3,"ALABAMA"
"4",-87.53076171875,30.3323860168457,1,4,"ALABAMA"
"5",-87.5708694458008,30.3266544342041,1,5,"ALABAMA"
"6",-87.5880584716797,30.3266544342041,1,6,"ALABAMA"
"7",-87.5937881469727,30.3094673156738,1,7,"ALABAMA"
"8",-87.5937881469727,30.286548614502,1,8,"ALABAMA"
"9",-87.6740036010742,30.275089263916,1,9,"ALABAMA"
"10",-87.8115158081055,30.2579021453857,1,10,"ALABAMA"
"11",-87.8802642822266,30.2464408874512,1,11,"ALABAMA"
"12",-87.9203720092773,30.2464408874512,1,12,"ALABAMA"
"13",-87.9547500610352,30.2464408874512,1,13,"ALABAMA"
"14",-88.0063171386719,30.2407131195068,1,14,"ALABAMA"
"15",-88.0177764892578,30.2521705627441,1,15,"ALABAMA"
"16",-88.0120468139648,30.269359588623,1,16,"ALABAMA"
"17",-87.9948577880859,30.275089263916,1,17,"ALABAMA"
"18",-87.9547500610352,30.275089263916,1,18,"ALABAMA"
"19",-87.9031829833984,30.2808208465576,1,19,"ALABAMA"
"20",-87.8286972045898,30.286548614502,1,20,"ALABAMA"
"21",-87.8000564575195,30.286548614502,1,21,"ALABAMA"
"22",-87.8000564575195,30.3266544342041,1,22,"ALABAMA"
"23",-87.8172378540039,30.3438453674316,1,23,"ALABAMA"
"24",-87.8401565551758,30.3839530944824,1,24,"ALABAMA"
"25",-87.8516235351562,30.4011421203613,1,25,"ALABAMA"
"26",-87.8745346069336,30.4125995635986,1,26,"ALABAMA"
"27",-87.9031829833984,30.4240608215332,1,27,"ALABAMA"
"28",-87.9261016845703,30.4469795227051,1,28,"ALABAMA"
"29",-87.9318313598633,30.4928131103516,1,29,"ALABAMA"
"30",-87.9432907104492,30.527193069458,1,30,"ALABAMA"
"31",-87.9203720092773,30.5615692138672,1,31,"ALABAMA"
"32",-87.9146423339844,30.5844879150391,1,32,"ALABAMA"
"33",-87.9261016845703,30.6188640594482,1,33,"ALABAMA"
"34",-87.9203720092773,30.670431137085,1,34,"ALABAMA"
"35",-87.9490203857422,30.6990776062012,1,35,"ALABAMA"
"36",-87.989128112793,30.7907524108887,1,36,"ALABAMA"
"37",-88.0063171386719,30.7964820861816,1,37,"ALABAMA"
"38",-88.0177764892578,30.802209854126,1,38,"ALABAMA"
"39",-88.0349655151367,30.7907524108887,1,39,"ALABAMA"
"40",-88.0464248657227,30.7563762664795,1,40,"ALABAMA"
"41",-88.0521545410156,30.727725982666,1,41,"ALABAMA"
"42",-88.0521545410156,30.7105388641357,1,42,"ALABAMA"
"43",-88.063606262207,30.6876201629639,1,43,"ALABAMA"
"44",-88.0693435668945,30.6818885803223,1,44,"ALABAMA"
"45",-88.0808029174805,30.6303253173828,1,45,"ALABAMA"
"46",-88.0808029174805,30.6131362915039,1,46,"ALABAMA"
"47",-88.0979919433594,30.6074066162109,1,47,"ALABAMA"
"48",-88.1094436645508,30.5959453582764,1,48,"ALABAMA"
"49",-88.1151809692383,30.5844879150391,1,49,"ALABAMA"
"50",-88.1094436645508,30.5558376312256,1,50,"ALABAMA"
"51",-88.1209106445312,30.4813556671143,1,51,"ALABAMA"
"52",-88.1209106445312,30.4412479400635,1,52,"ALABAMA"
"53",-88.1266403198242,30.3896808624268,1,53,"ALABAMA"
"54",-88.1323699951172,30.3610343933105,1,54,"ALABAMA"
"55",-88.1438293457031,30.3438453674316,1,55,"ALABAMA"
"56",-88.161018371582,30.3381156921387,1,56,"ALABAMA"
"57",-88.172477722168,30.3381156921387,1,57,"ALABAMA"
"58",-88.1896591186523,30.3553047180176,1,58,"ALABAMA"
"59",-88.2240447998047,30.3782234191895,1,59,"ALABAMA"
"60",-88.2354965209961,30.3954105377197,1,60,"ALABAMA"
"61",-88.2870635986328,30.4011421203613,1,61,"ALABAMA"
"62",-88.3157119750977,30.4011421203613,1,62,"ALABAMA"
"63",-88.3329010009766,30.4011421203613,1,63,"ALABAMA"
"64",-88.35009765625,30.4240608215332,1,64,"ALABAMA"
"65",-88.3902053833008,30.4125995635986,1,65,"ALABAMA"
"66",-88.4073867797852,30.7334575653076,1,66,"ALABAMA"
"67",-88.4188461303711,30.9970169067383,1,67,"ALABAMA"
"68",-88.430305480957,31.123067855835,1,68,"ALABAMA"
"69",-88.4532241821289,31.432466506958,1,69,"ALABAMA"
"70",-88.4646835327148,31.6960258483887,1,70,"ALABAMA"
"71",-88.4761428833008,31.8908290863037,1,71,"ALABAMA"
"72",-88.430305480957,32.22314453125,1,72,"ALABAMA"
"73",-88.430305480957,32.3090896606445,1,73,"ALABAMA"
"74",-88.3902053833008,32.5783805847168,1,74,"ALABAMA"
"75",-88.35009765625,32.9221534729004,1,75,"ALABAMA"
"76",-88.3386306762695,32.985179901123,1,76,"ALABAMA"
"77",-88.2985305786133,33.2831192016602,1,77,"ALABAMA"
"78",-88.2756042480469,33.5294914245605,1,78,"ALABAMA"
"79",-88.2526931762695,33.7357559204102,1,79,"ALABAMA"
"80",-88.2068557739258,34.0623397827148,1,80,"ALABAMA"
"81",-88.2068557739258,34.0795288085938,1,81,"ALABAMA"
"82",-88.1839370727539,34.3144416809082,1,82,"ALABAMA"
"83",-88.166748046875,34.4634094238281,1,83,"ALABAMA"
"84",-88.1495513916016,34.5837326049805,1,84,"ALABAMA"
"85",-88.1094436645508,34.8988571166992,1,85,"ALABAMA"
"86",-88.1323699951172,34.9045906066895,1,86,"ALABAMA"
"87",-88.166748046875,34.9504280090332,1,87,"ALABAMA"
"88",-88.1896591186523,34.996265411377,1,88,"ALABAMA"
"89",-88.1839370727539,35.0134506225586,1,89,"ALABAMA"
"90",-87.989128112793,35.0134506225586,1,90,"ALABAMA"
"91",-87.6052474975586,35.0077209472656,1,91,"ALABAMA"
"92",-87.2270965576172,35.0019912719727,1,92,"ALABAMA"
"93",-87.2041702270508,35.0019912719727,1,93,"ALABAMA"
"94",-86.8260269165039,34.996265411377,1,94,"ALABAMA"
"95",-86.7801895141602,34.9905319213867,1,95,"ALABAMA"
"96",-86.3103637695312,34.9905319213867,1,96,"ALABAMA"
"97",-85.8519973754883,34.9848022460938,1,97,"ALABAMA"
"98",-85.6113510131836,34.9790725708008,1,98,"ALABAMA"
"99",-85.5884399414062,34.8415641784668,1,99,"ALABAMA"
"100",-85.5426025390625,34.6181106567383,1,100,"ALABAMA"
"101",-85.5254058837891,34.5837326049805,1,101,"ALABAMA"
"102",-85.4681167602539,34.2628746032715,1,102,"ALABAMA"
"103",-85.4280090332031,34.0795288085938,1,103,"ALABAMA"
"104",-85.4050903320312,33.9592094421387,1,104,"ALABAMA"
"105",-85.3936309814453,33.907642364502,1,105,"ALABAMA"
"106",-85.3477935791016,33.6612701416016,1,106,"ALABAMA"
"107",-85.3134155273438,33.4951095581055,1,107,"ALABAMA"
"108",-85.2962265014648,33.4320907592773,1,108,"ALABAMA"
"109",-85.2446594238281,33.1169624328613,1,109,"ALABAMA"
"110",-85.2389297485352,33.1054992675781,1,110,"ALABAMA"
"111",-85.1930923461914,32.8705902099609,1,111,"ALABAMA"
"112",-85.1930923461914,32.8591270446777,1,112,"ALABAMA"
"113",-85.1701812744141,32.8419418334961,1,113,"ALABAMA"
"114",-85.1472549438477,32.7903747558594,1,114,"ALABAMA"
"115",-85.1300735473633,32.7674560546875,1,115,"ALABAMA"
"116",-85.1300735473633,32.7502670288086,1,116,"ALABAMA"
"117",-85.1243438720703,32.733081817627,1,117,"ALABAMA"
"118",-85.1014175415039,32.67578125,1,118,"ALABAMA"
"119",-85.1014175415039,32.6356735229492,1,119,"ALABAMA"
"120",-85.0670394897461,32.6070289611816,1,120,"ALABAMA"
"121",-85.0498580932617,32.5554618835449,1,121,"ALABAMA"
